start_station_name,start_lat,start_lng,count_start_rides
Streeter Dr & Grand Ave,41.892278,-87.612043,40359
DuSable Lake Shore Dr & Monroe St,41.880958,-87.616743,26405
Michigan Ave & Oak St,41.90096039,-87.62377664,19527
DuSable Lake Shore Dr & North Blvd,41.911722,-87.626804,18338
Shedd Aquarium,41.86722596,-87.61535539,16211
Millennium Park,41.8810317,-87.62408432,16202
Dusable Harbor,41.886976,-87.612813,14639
Theater on the Lake,41.926277,-87.630834,13471
Adler Planetarium,41.866095,-87.607267,10535
Michigan Ave & 8th St,41.872773,-87.623981,10240
Montrose Harbor,41.963982,-87.638181,9080
Indiana Ave & Roosevelt Rd,41.867888,-87.623041,8778
Clark St & Lincoln Ave,41.915689,-87.6346,7751
Wabash Ave & Grand Ave,41.891466,-87.626761,7552
Clark St & Armitage Ave,41.918306,-87.636282,7510
Michigan Ave & Washington St,41.88398406,-87.62468398,7494
Field Museum,41.865312,-87.617867,7478
New St & Illinois St,41.89084704,-87.61861682,7216
Clark St & Elm St,41.902973,-87.63128,7130
Wells St & Concord Ln,41.912133,-87.634656,7093
DuSable Lake Shore Dr & Diversey Pkwy,41.932588,-87.636427,6667
McClurg Ct & Ohio St,41.89259212,-87.61728913,6639
LaSalle St & Illinois St,41.890762,-87.631697,6508
Columbus Dr & Randolph St,41.884728,-87.619521,6375
Wells St & Elm St,41.903222,-87.634324,6231
Michigan Ave & Lake St,41.886022,-87.624398,6181
Kingsbury St & Kinzie St,41.88917683,-87.63850577,6179
DuSable Lake Shore Dr & Belmont Ave,41.940775,-87.639192,6103
Lincoln Park Conservatory,41.92393131,-87.63582453,5829
Wilton Ave & Belmont Ave,41.94023192,-87.65294373,5617
DuSable Lake Shore Dr & Wellington Ave,41.93668845,-87.63682902,5582
Dearborn St & Erie St,41.893992,-87.629318,5527
Wells St & Huron St,41.894722,-87.634362,5263
Lakeview Ave & Fullerton Pkwy,41.925858,-87.638973,5208
Ellis Ave & 60th St,41.78509715,-87.60107276,5131
Broadway & Barry Ave,41.93758232,-87.64409781,5093
Fairbanks Ct & Grand Ave,41.89184737,-87.6205802,5065
Cityfront Plaza Dr & Pioneer Ct,41.890573,-87.622072,5058
Wabash Ave & Roosevelt Rd,41.867227,-87.625961,4979
Larrabee St & Webster Ave,41.921822,-87.64414,4948
Wells St & Hubbard St,41.889906,-87.634266,4869
University Ave & 57th St,41.791478,-87.599861,4842
State St & Chicago Ave,41.8966172,-87.62857854,4817
Dearborn Pkwy & Delaware Pl,41.898969,-87.629912,4813
Sheffield Ave & Fullerton Ave,41.92560188,-87.65370804,4813
Wells St & Evergreen Ave,41.906724,-87.63483,4804
Wabash Ave & Wacker Pl,41.886875,-87.62603,4735
Clark St & Wrightwood Ave,41.929546,-87.643118,4704
Clark St & Newport St,41.94454,-87.654678,4629
Sheffield Ave & Waveland Ave,41.949399,-87.654529,4587
State St & Randolph St,41.88462107,-87.62783423,4578
Desplaines St & Kinzie St,41.88871604,-87.64444785,4530
Stockton Dr & Wrightwood Ave,41.93132,-87.638742,4494
Broadway & Cornelia Ave,41.945529,-87.646439,4393
Lakefront Trail & Bryn Mawr Ave,41.98404412,-87.65228122,4322
Mies van der Rohe Way & Chestnut St,41.89858665,-87.62191523,4310
Clinton St & Madison St,41.88275197,-87.64119029,4291
Buckingham Fountain,41.876665,-87.620483,4277
Ellis Ave & 55th St,41.79430062,-87.60144977,4252
Lincoln Ave & Fullerton Ave,41.92416103,-87.64638036,4221
Clark St & Drummond Pl,41.931248,-87.644336,4203
Clark St & Schiller St,41.907993,-87.631501,4169
Halsted St & Fulton St,41.886871,-87.648089,4154
Sheffield Ave & Wrightwood Ave,41.928712,-87.653833,4116
Michigan Ave & Pearson St,41.89766,-87.62351,4082
Ashland Ave & Division St,41.90345,-87.667747,4060
Damen Ave & Pierce Ave,41.90939601,-87.67769193,4053
Pine Grove Ave & Waveland Ave,41.94947274,-87.64645278,4050
McCormick Place,41.85137517,-87.61883465,3985
Federal St & Polk St,41.87207763,-87.62954377,3971
Halsted St & Wrightwood Ave,41.929143,-87.649077,3955
Halsted St & Clybourn Ave,41.909668,-87.648128,3946
Field Blvd & South Water St,41.88634906,-87.61751655,3932
Franklin St & Jackson Blvd,41.87770796,-87.63532114,3917
Clark St & North Ave,41.911974,-87.631942,3894
Clark St & Lake St,41.88602083,-87.63087606,3885
Southport Ave & Roscoe St,41.943739,-87.66402,3870
Halsted St & Roscoe St,41.94367,-87.64895,3867
Shore Dr & 55th St,41.795212,-87.580715,3833
McClurg Ct & Erie St,41.894503,-87.617854,3831
Orleans St & Merchandise Mart Plaza,41.888243,-87.63639,3727
Canal St & Madison St,41.882409,-87.639767,3718
Daley Center Plaza,41.884241,-87.629634,3708
Rush St & Cedar St,41.9023087,-87.62769053,3706
State St & Kinzie St,41.88937547,-87.62707651,3635
Sedgwick St & North Ave,41.911386,-87.638677,3626
Clinton St & Washington Blvd,41.88338,-87.64117,3621
Broadway & Waveland Ave,41.949074,-87.648636,3592
Wabash Ave & 9th St,41.870769,-87.625734,3584
Rush St & Superior St,41.89576475,-87.62590803,3580
Green St & Madison St,41.88185933,-87.64926374,3575
Clark St & Grace St,41.95078,-87.659172,3552
Sheffield Ave & Webster Ave,41.92154,-87.653818,3514
Clinton St & Jackson Blvd,41.87831661,-87.64098108,3449
Streeter Dr/Grand Ave,41.892401,-87.612388,3417
Buckingham Fountain,41.869515,-87.6240634,3405
Michigan Ave & Madison St,41.882134,-87.625125,3402
Dearborn St & Monroe St,41.88131982,-87.62952092,3399
Burnham Harbor,41.85741179,-87.61379153,3386
Sheffield Ave & Wellington Ave,41.93625348,-87.6526621,3367
Clark St & Wellington Ave,41.93649682,-87.64753866,3295
Broadway & Belmont Ave,41.940106,-87.645451,3237
Milwaukee Ave & Grand Ave,41.891578,-87.648384,3229
St. Clair St & Erie St,41.89434514,-87.62279838,3226
Sheridan Rd & Irving Park Rd,41.954245,-87.654406,3184
Sedgwick St & Webster Ave,41.922167,-87.638888,3170
Clinton St & Lake St,41.885637,-87.641823,3149
LaSalle Dr & Huron St,41.894877,-87.632326,3132
Ritchie Ct & Banks St,41.906866,-87.626217,3103
Wells St & Walton St,41.89993001,-87.63443007,3091
Halsted St & Dickens Ave,41.919936,-87.64883,3087
Southport Ave & Wellington Ave,41.93577462,-87.66360015,3058
Mies van der Rohe Way & Chicago Ave,41.89694463,-87.62175769,3051
Bissell St & Armitage Ave*,41.91829556,-87.65218332,3032
Michigan Ave & 14th St,41.864059,-87.623727,3026
Lakefront Trail & Wilson Ave,41.965845,-87.645361,2985
Franklin St & Illinois St,41.89102331,-87.63547987,2969
Cannon Dr & Fullerton Ave,41.92675599,-87.63442878,2956
Michigan Ave & Jackson Blvd,41.878005,-87.624144,2946
Canal St & Adams St,41.879255,-87.639904,2942
Racine Ave & Belmont Ave,41.939743,-87.658865,2900
Calumet Ave & 18th St,41.85761755,-87.61941075,2886
State St & Harrison St,41.874053,-87.627716,2876
Larrabee St & Kingsbury St,41.897764,-87.642884,2866
Wabash Ave & Adams St,41.87947235,-87.62568861,2814
Ogden Ave & Chicago Ave,41.89636246,-87.65406127,2807
Pine Grove Ave & Irving Park Rd,41.954383,-87.648043,2789
Michigan Ave & Ida B Wells Dr,41.876243,-87.624426,2781
Broadway & Sheridan Rd,41.952833,-87.649993,2759
Clark St & Winnemac Ave,41.97334764,-87.66785547,2741
Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,2707
Damen Ave & Cortland St,41.915983,-87.677335,2701
California Ave & Milwaukee Ave,41.922695,-87.697153,2683
Wilton Ave & Diversey Pkwy,41.932418,-87.652705,2619
Woodlawn Ave & 55th St,41.795264,-87.596471,2615
Franklin St & Lake St,41.885837,-87.6355,2612
Kedzie Ave & Milwaukee Ave,41.929567,-87.707857,2612
Peoria St & Jackson Blvd,41.8776416,-87.64961779,2609
Kingsbury St & Erie St,41.89380806,-87.64169723,2602
Broadway & Wilson Ave,41.965221,-87.658139,2596
Clark St & Chicago Ave,41.89675,-87.63089,2593
Lincoln Ave & Diversey Pkwy,41.932225,-87.658617,2587
Dayton St & North Ave,41.91057803,-87.64942193,2581
Sheridan Rd & Montrose Ave,41.96167,-87.65464,2568
Rush St & Hubbard St,41.890173,-87.626185,2566
Sedgwick St & Huron St,41.894666,-87.638437,2532
Clarendon Ave & Junior Ter,41.961004,-87.649603,2529
Southport Ave & Waveland Ave,41.94815,-87.66394,2526
Ravenswood Ave & Lawrence Ave,41.968445,-87.674226,2525
Stetson Ave & South Water St,41.886835,-87.62232,2511
State St & Van Buren St,41.877181,-87.627844,2490
Franklin St & Chicago Ave,41.89674697,-87.63566762,2482
Clarendon Ave & Gordon Ter,41.95786652,-87.64950514,2467
Milwaukee Ave & Wabansia Ave,41.912616,-87.681391,2367
Southport Ave & Wrightwood Ave,41.928773,-87.663913,2352
LaSalle St & Jackson Blvd,41.878166,-87.631929,2338
Wells St & Polk St,41.87273154,-87.63351649,2336
Wood St & Milwaukee Ave,41.907655,-87.672552,2331
Southport Ave & Belmont Ave,41.93947775,-87.66374767,2315
Aberdeen St & Randolph St,41.884114,-87.654264,2301
Lake Park Ave & 56th St,41.793242,-87.587782,2257
Larrabee St & Division St,41.90348607,-87.64335349,2233
Sheffield Ave & Kingsbury St,41.910522,-87.653106,2233
Wabash Ave & 16th St,41.860384,-87.625813,2231
Racine Ave & Fullerton Ave,41.925566,-87.658416,2193
Clark St & Berwyn Ave,41.97803062,-87.66856492,2152
Delano Ct & Roosevelt Rd,41.867491,-87.63219,2147
Burling St & Diversey Pkwy,41.93314,-87.64776,2127
Dearborn St & Adams St,41.87935636,-87.62979104,2113
900 W Harrison St,41.874754,-87.649807,2100
Elizabeth St & Randolph St,41.884336,-87.658902,2089
Clifton Ave & Armitage Ave,41.918216,-87.656936,2085
Clark St & Leland Ave,41.96708784,-87.66729087,2075
Honore St & Division St,41.903119,-87.673935,2042
Elston Ave & Cortland St,41.91643343,-87.66674638,2039
Green St & Randolph St*,41.88360166,-87.64862671,2025
Blackstone Ave & 59th St,41.787877,-87.590461,2024
Sangamon St & Lake St,41.88577925,-87.65102461,2021
Cornell Ave & Hyde Park Blvd,41.802406,-87.586924,2019
Larrabee St & Armitage Ave,41.918084,-87.643749,2018
Clark St & Ida B Wells Dr,41.87593267,-87.63058454,1993
Franklin St & Adams St (Temp),41.87943409,-87.63550401,1972
Western Ave & Winnebago Ave,41.91552,-87.687022,1962
