start_station_name,start_lat,start_lng,count_start_rides
Kingsbury St & Kinzie St,41.88917683,-87.63850577,19182
Clark St & Elm St,41.902973,-87.63128,17179
Clinton St & Washington Blvd,41.88338,-87.64117,16831
University Ave & 57th St,41.791478,-87.599861,15299
Clinton St & Madison St,41.88275197,-87.64119029,14955
Wells St & Concord Ln,41.912133,-87.634656,13664
Wells St & Elm St,41.903222,-87.634324,13426
Ellis Ave & 60th St,41.78509715,-87.60107276,13340
DuSable Lake Shore Dr & North Blvd,41.911722,-87.626804,13119
Dearborn St & Erie St,41.893992,-87.629318,12892
State St & Chicago Ave,41.8966172,-87.62857854,12629
Broadway & Barry Ave,41.93758232,-87.64409781,12419
State St & 33rd St,41.834734,-87.625813,12127
Streeter Dr & Grand Ave,41.892278,-87.612043,12065
Loomis St & Lexington St,41.87222873,-87.66136386,11873
Clinton St & Jackson Blvd,41.87831661,-87.64098108,11819
Ellis Ave & 55th St,41.79430062,-87.60144977,11805
Wilton Ave & Belmont Ave,41.94023192,-87.65294373,11457
Desplaines St & Kinzie St,41.88871604,-87.64444785,11309
Larrabee St & Kingsbury St,41.897764,-87.642884,11008
Sheffield Ave & Fullerton Ave,41.92560188,-87.65370804,10992
Morgan St & Polk St,41.871737,-87.65103,10952
Theater on the Lake,41.926277,-87.630834,10926
Wells St & Huron St,41.894722,-87.634362,10904
Indiana Ave & Roosevelt Rd,41.867888,-87.623041,10651
Wabash Ave & Grand Ave,41.891466,-87.626761,10486
Daley Center Plaza,41.884241,-87.629634,10473
Michigan Ave & Oak St,41.90096039,-87.62377664,10425
Wells St & Hubbard St,41.889906,-87.634266,10395
Canal St & Madison St,41.882409,-87.639767,10270
Wabash Ave & Roosevelt Rd,41.867227,-87.625961,10212
Canal St & Adams St,41.879255,-87.639904,10157
MLK Jr Dr & 29th St,41.842052,-87.617,10157
Clark St & Armitage Ave,41.918306,-87.636282,10113
Michigan Ave & Washington St,41.88398406,-87.62468398,10059
Clark St & Lincoln Ave,41.915689,-87.6346,9990
Calumet Ave & 33rd St,41.8349,-87.61793,9875
Dearborn Pkwy & Delaware Pl,41.898969,-87.629912,9872
Broadway & Waveland Ave,41.949074,-87.648636,9857
Clark St & Wrightwood Ave,41.929546,-87.643118,9715
Clinton St & Lake St,41.885637,-87.641823,9457
Pine Grove Ave & Waveland Ave,41.94947274,-87.64645278,9448
Dearborn St & Monroe St,41.88131982,-87.62952092,9370
Clark St & Drummond Pl,41.931248,-87.644336,9303
Halsted St & Clybourn Ave,41.909668,-87.648128,9297
Halsted St & Polk St,41.87184,-87.64664,9214
Green St & Madison St,41.88185933,-87.64926374,9211
McClurg Ct & Ohio St,41.89259212,-87.61728913,9209
Broadway & Cornelia Ave,41.945529,-87.646439,9207
Peoria St & Jackson Blvd,41.8776416,-87.64961779,9154
Kingsbury St & Erie St,41.89380806,-87.64169723,9133
Ashland Ave & Division St,41.90345,-87.667747,9105
Michigan Ave & Lake St,41.886022,-87.624398,9053
LaSalle St & Illinois St,41.890762,-87.631697,8998
Lincoln Ave & Fullerton Ave,41.92416103,-87.64638036,8884
Columbus Dr & Randolph St,41.884728,-87.619521,8863
DuSable Lake Shore Dr & Diversey Pkwy,41.932588,-87.636427,8807
Clark St & Lake St,41.88602083,-87.63087606,8752
Federal St & Polk St,41.87207763,-87.62954377,8477
Clark St & Schiller St,41.907993,-87.631501,8313
Sheridan Rd & Irving Park Rd,41.954245,-87.654406,8294
New St & Illinois St,41.89084704,-87.61861682,8277
DuSable Lake Shore Dr & Monroe St,41.880958,-87.616743,8230
Halsted St & Fulton St,41.886871,-87.648089,8224
LaSalle St & Jackson Blvd,41.878166,-87.631929,8204
Racine Ave & Fullerton Ave,41.925566,-87.658416,8188
Sedgwick St & Huron St,41.894666,-87.638437,8175
St. Clair St & Erie St,41.89434514,-87.62279838,8041
Damen Ave & Pierce Ave,41.90939601,-87.67769193,7973
Orleans St & Merchandise Mart Plaza,41.888243,-87.63639,7965
McClurg Ct & Erie St,41.894503,-87.617854,7876
Southport Ave & Roscoe St,41.943739,-87.66402,7856
Larrabee St & Webster Ave,41.921822,-87.64414,7835
Halsted St & Wrightwood Ave,41.929143,-87.649077,7675
Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,7637
Sheffield Ave & Wellington Ave,41.93625348,-87.6526621,7541
Millennium Park,41.8810317,-87.62408432,7513
Franklin St & Jackson Blvd,41.87770796,-87.63532114,7470
Pine Grove Ave & Irving Park Rd,41.954383,-87.648043,7435
Ravenswood Ave & Lawrence Ave,41.968445,-87.674226,7433
Lakeview Ave & Fullerton Pkwy,41.925858,-87.638973,7369
State St & Randolph St,41.88462107,-87.62783423,7328
Sheffield Ave & Waveland Ave,41.949399,-87.654529,7265
Fairbanks Ct & Grand Ave,41.89184737,-87.6205802,7250
Sheffield Ave & Webster Ave,41.92154,-87.653818,7190
Southport Ave & Waveland Ave,41.94815,-87.66394,7161
DuSable Lake Shore Dr & Belmont Ave,41.940775,-87.639192,7156
DuSable Lake Shore Dr & Wellington Ave,41.93668845,-87.63682902,7152
Wells St & Evergreen Ave,41.906724,-87.63483,7110
Sheffield Ave & Wrightwood Ave,41.928712,-87.653833,7106
Halsted St & Roscoe St,41.94367,-87.64895,7090
Clark St & Wellington Ave,41.93649682,-87.64753866,7068
Franklin St & Lake St,41.885837,-87.6355,7005
Broadway & Belmont Ave,41.940106,-87.645451,6937
Stockton Dr & Wrightwood Ave,41.93132,-87.638742,6895
Clark St & Newport St,41.94454,-87.654678,6874
Franklin St & Illinois St,41.89102331,-87.63547987,6831
Sedgwick St & North Ave,41.911386,-87.638677,6798
Desplaines St & Jackson Blvd,41.8781189,-87.6439476,6735
Clarendon Ave & Gordon Ter,41.95786652,-87.64950514,6729
Burling St & Diversey Pkwy,41.93314,-87.64776,6669
Bissell St & Armitage Ave*,41.91829556,-87.65218332,6608
Sheridan Rd & Montrose Ave,41.96167,-87.65464,6558
Montrose Harbor,41.963982,-87.638181,6540
Broadway & Sheridan Rd,41.952833,-87.649993,6530
Rush St & Cedar St,41.9023087,-87.62769053,6488
Rush St & Superior St,41.89576475,-87.62590803,6475
900 W Harrison St,41.874754,-87.649807,6422
Sheffield Ave & Kingsbury St,41.910522,-87.653106,6393
Sedgwick St & Webster Ave,41.922167,-87.638888,6347
Franklin St & Monroe St,41.880317,-87.635185,6346
Mies van der Rohe Way & Chicago Ave,41.89694463,-87.62175769,6330
Wilton Ave & Diversey Pkwy,41.932418,-87.652705,6256
Woodlawn Ave & 55th St,41.795264,-87.596471,6203
Halsted St & Dickens Ave,41.919936,-87.64883,6171
Milwaukee Ave & Grand Ave,41.891578,-87.648384,6137
Michigan Ave & 14th St,41.864059,-87.623727,6120
Wabash Ave & 9th St,41.870769,-87.625734,6104
State St & Kinzie St,41.88937547,-87.62707651,6051
Clark St & Chicago Ave,41.89675,-87.63089,5900
Clark St & Winnemac Ave,41.97334764,-87.66785547,5876
Wells St & Walton St,41.89993001,-87.63443007,5808
Rhodes Ave & 32nd St,41.836208,-87.613533,5785
Franklin St & Chicago Ave,41.89674697,-87.63566762,5710
Kimbark Ave & 53rd St,41.799568,-87.594747,5632
Ellis Ave & 58th St,41.788746,-87.601334,5616
Blackstone Ave & 59th St,41.787877,-87.590461,5583
Southport Ave & Wellington Ave,41.93577462,-87.66360015,5553
Broadway & Wilson Ave,41.965221,-87.658139,5547
Dayton St & North Ave,41.91057803,-87.64942193,5462
Michigan Ave & 8th St,41.872773,-87.623981,5454
Southport Ave & Belmont Ave,41.93947775,-87.66374767,5436
Lake Park Ave & 56th St,41.793242,-87.587782,5431
Canal St & Monroe St,41.88169,-87.63953,5430
Burnham Harbor,41.85741179,-87.61379153,5394
Morgan St & Lake St*,41.88549171,-87.65228927,5347
Financial Pl & Ida B Wells Dr,41.87502363,-87.63309404,5335
Ogden Ave & Chicago Ave,41.89636246,-87.65406127,5330
Mies van der Rohe Way & Chestnut St,41.89858665,-87.62191523,5309
Milwaukee Ave & Wabansia Ave,41.912616,-87.681391,5302
Sangamon St & Lake St,41.88577925,-87.65102461,5270
Honore St & Division St,41.903119,-87.673935,5255
Clifton Ave & Armitage Ave,41.918216,-87.656936,5254
Shore Dr & 55th St,41.795212,-87.580715,5251
Racine Ave & Belmont Ave,41.939743,-87.658865,5207
Aberdeen St & Monroe St,41.880419,-87.655519,5179
Wood St & Milwaukee Ave,41.907655,-87.672552,5148
Clarendon Ave & Junior Ter,41.961004,-87.649603,5146
Cityfront Plaza Dr & Pioneer Ct,41.890573,-87.622072,5143
LaSalle Dr & Huron St,41.894877,-87.632326,5106
Sheridan Rd & Buena Ave,41.958494,-87.654966,5104
Lakefront Trail & Bryn Mawr Ave,41.98404412,-87.65228122,5034
Clark St & North Ave,41.911974,-87.631942,5015
Dusable Harbor,41.886976,-87.612813,4966
Larrabee St & Oak St,41.90021949,-87.64298547,4960
State St & Pearson St,41.897448,-87.628722,4946
Southport Ave & Wrightwood Ave,41.928773,-87.663913,4936
Aberdeen St & Randolph St,41.884114,-87.654264,4929
Franklin St & Adams St (Temp),41.87943409,-87.63550401,4929
Dearborn St & Adams St,41.87935636,-87.62979104,4927
Halsted St & Maxwell St,41.864883,-87.647071,4922
Wabash Ave & Adams St,41.87947235,-87.62568861,4898
Lincoln Ave & Diversey Pkwy,41.932225,-87.658617,4813
Wolcott Ave & Polk St,41.871262,-87.673688,4804
Wabash Ave & Wacker Pl,41.886875,-87.62603,4723
Lincoln Ave & Melrose St,41.9406,-87.669435,4721
California Ave & Milwaukee Ave,41.922695,-87.697153,4705
Halsted St & Roosevelt Rd,41.867324,-87.648625,4702
Halsted St & Willow St,41.913865,-87.648755,4689
Sheffield Ave & Willow St,41.913688,-87.652855,4669
Larrabee St & Division St,41.90348607,-87.64335349,4655
Wells St & Polk St,41.87273154,-87.63351649,4646
Jefferson St & Monroe St,41.88032963,-87.64274597,4601
Cornell Ave & Hyde Park Blvd,41.802406,-87.586924,4575
